Company Name,Industry,Market Growth Potential,Profitability,Competitive Advantage,Management Quality,Innovation and R&D,Regulatory Environment,Financial Stability,Sustainability and ESG
Startup_1,Healthcare,7,10,5,5,5,5,5,3
Startup_2,Tech,6,9,4,5,7,4,3,5
Startup_3,AI,7,10,5,10,5,3,7,2
Startup_4,E-Commerce,9,5,8,10,6,7,7,6
Startup_5,E-Commerce,10,7,4,5,7,8,4,3
Startup_6,FinTech,6,5,4,6,5,7,5,2
Startup_7,Healthcare,5,6,9,5,10,3,4,6
Startup_8,Healthcare,6,7,7,5,4,8,8,6
Startup_9,EdTech,6,9,10,7,7,5,2,7
Startup_10,Tech,5,9,4,5,10,3,2,3
Startup_11,Tech,9,8,10,9,10,3,5,5
Startup_12,Healthcare,6,6,8,6,10,7,6,4
Startup_13,E-Commerce,9,5,10,7,8,6,6,3
Startup_14,E-Commerce,9,10,5,10,4,7,2,7
Startup_15,Tech,9,4,5,8,4,9,2,1
Startup_16,E-Commerce,4,3,9,6,9,7,6,1
Startup_17,EdTech,8,4,7,9,8,4,3,6
Startup_18,E-Commerce,9,5,8,6,10,3,6,4
Startup_19,Green Energy,5,5,5,10,4,7,4,7
Startup_20,AI,8,9,6,9,4,3,3,3
Startup_21,Tech,9,4,8,9,10,9,4,1
Startup_22,FinTech,5,9,10,8,10,4,2,1
Startup_23,EdTech,5,9,8,6,5,3,3,3
Startup_24,Biotech,7,10,7,8,5,7,4,7
Startup_25,AI,7,7,5,8,7,3,4,2
Startup_26,FinTech,6,3,8,6,7,8,3,6
Startup_27,E-Commerce,9,4,10,5,7,9,5,3
Startup_28,Biotech,9,7,9,5,5,4,8,2
Startup_29,Healthcare,8,8,9,10,10,6,6,6
Startup_30,Healthcare,5,4,5,8,7,3,7,4
Startup_31,EdTech,9,7,9,7,4,7,4,5
Startup_32,Healthcare,6,9,6,8,5,4,6,6
Startup_33,Biotech,10,5,7,8,7,7,8,4
Startup_34,Biotech,10,10,9,8,4,7,7,5
Startup_35,AI,10,3,9,10,7,3,6,1
Startup_36,Tech,4,7,6,5,6,7,2,1
Startup_37,Green Energy,5,5,7,10,10,3,7,1
Startup_38,Healthcare,10,4,8,10,10,6,8,6
Startup_39,EdTech,4,7,7,10,7,8,6,2
Startup_40,Healthcare,10,6,4,5,6,7,4,5
Startup_41,AI,6,5,5,5,7,7,7,1
Startup_42,Biotech,7,8,5,8,9,7,2,7
Startup_43,E-Commerce,6,5,4,10,9,5,3,3
Startup_44,Healthcare,4,3,6,7,10,5,4,5
Startup_45,Tech,5,8,4,5,8,4,2,5
Startup_46,E-Commerce,8,10,8,6,9,8,2,2
Startup_47,AI,9,3,8,6,9,8,7,4
Startup_48,Healthcare,6,4,5,6,7,5,6,2
Startup_49,E-Commerce,5,8,8,9,5,4,3,1
Startup_50,Healthcare,9,7,5,8,5,5,4,3
